geo_code,geo_label,geo_labelw,IMD_Rank,IMD_Decile,IUC_CODE,IUC_LABEL
E01008316,Newcastle upon Tyne 012C,,"27,726","9","6",e-Mainstream
E01008377,Newcastle upon Tyne 008E,,"5,274","2","4",Youthful Urban Fringe
E01008455,Newcastle upon Tyne 022G,,"10,175","4","4",Youthful Urban Fringe
E01008344,Newcastle upon Tyne 019B,,"7,335","3","7",Passive and Uncommitted Users
E01008437,Newcastle upon Tyne 029F,,"174","1","10",e-Withdrawn
E01008425,Newcastle upon Tyne 030B,,"773","1","10",e-Withdrawn
E01008360,Newcastle upon Tyne 018C,,"20,992","7","2",e-Professionals
E01008458,Newcastle upon Tyne 004D,,"23,053","8","5",e-Rational Utilitarians
E01008373,Newcastle upon Tyne 013E,,"30,235","10","1",e-Cultural Creators
E01008292,Newcastle upon Tyne 027E,,"26,619","9","6",e-Mainstream
E01008369,Newcastle upon Tyne 013B,,"29,211","9","1",e-Cultural Creators
E01008420,Newcastle upon Tyne 005D,,"31,239","10","3",e-Veterans
E01008392,Newcastle upon Tyne 026F,,"1,919","1","7",Passive and Uncommitted Users
E01008424,Newcastle upon Tyne 005F,,"21,540","7","2",e-Professionals
E01008452,Newcastle upon Tyne 016D,,"24,657","8","3",e-Veterans
E01008409,Newcastle upon Tyne 017D,,"23,869","8","2",e-Professionals
E01008320,Newcastle upon Tyne 007C,,"22,160","7","6",e-Mainstream
E01008387,Newcastle upon Tyne 021G,,"19,143","6","7",Passive and Uncommitted Users
E01008380,Newcastle upon Tyne 008G,,"223","1","10",e-Withdrawn
E01008429,Newcastle upon Tyne 028D,,"943","1","10",e-Withdrawn
E01008323,Newcastle upon Tyne 007F,,"22,719","7","2",e-Professionals
E01008375,Newcastle upon Tyne 008C,,"7,531","3","7",Passive and Uncommitted Users
E01008318,Newcastle upon Tyne 012D,,"7,998","3","7",Passive and Uncommitted Users
E01008347,Newcastle upon Tyne 019E,,"13,058","4","7",Passive and Uncommitted Users
E01008390,Newcastle upon Tyne 030A,,"377","1","10",e-Withdrawn
E01008299,Newcastle upon Tyne 011D,,"2,527","1","10",e-Withdrawn
E01008427,Newcastle upon Tyne 030C,,"45","1","10",e-Withdrawn
E01008293,Newcastle upon Tyne 004A,,"16,311","5","6",e-Mainstream
E01008295,Newcastle upon Tyne 008A,,"1,933","1","7",Passive and Uncommitted Users
E01008306,Newcastle upon Tyne 001B,,"13,282","5","9",Settled Offline Communities
E01033550,Newcastle upon Tyne 002F,,"32,644","10","2",e-Professionals
E01033543,Newcastle upon Tyne 024G,,"11,286","4","1",e-Cultural Creators
E01008288,Newcastle upon Tyne 027A,,"9,126","3","7",Passive and Uncommitted Users
