GISJOIN,STATE,TRACTA,TOTAL,BLACK_AA_Count,BLACK_AA_Percentage
G1700310843300,Illinois,843300,2144,1184,55.22
G1700310841700,Illinois,841700,1652,917,55.51
G1700310250200,Illinois,250200,2748,1527,55.57
G1700310231100,Illinois,231100,1348,756,56.08
G1700310829901,Illinois,829901,8959,5024,56.08
G1701630501501,Illinois,501501,1949,1096,56.23
G1700310830400,Illinois,830400,4486,2541,56.64
G1701630502602,Illinois,502602,5462,3139,57.47
G1700310460700,Illinois,460700,2775,1604,57.8
G1700970863100,Illinois,863100,2376,1377,57.95
G1701190400600,Illinois,400600,2971,1722,57.96
G1700310829302,Illinois,829302,4012,2334,58.18
G1700310835000,Illinois,835000,5579,3249,58.24
G1702010003200,Illinois,3200,3640,2120,58.24
G1700970862902,Illinois,862902,2695,1570,58.26
G1701430000500,Illinois,500,1783,1047,58.72
G1700310750200,Illinois,750200,2868,1691,58.96
G1701970883603,Illinois,883603,3077,1817,59.05
G1700310833900,Illinois,833900,2441,1442,59.07
G1700030957800,Illinois,957800,1467,868,59.17
G1700310420400,Illinois,420400,1180,702,59.49
G1700310825700,Illinois,825700,4214,2519,59.78
G1701150000600,Illinois,600,1728,1033,59.78
G1700310700401,Illinois,700401,6301,3784,60.05
G1700310720700,Illinois,720700,3280,1974,60.18
G1701430000600,Illinois,600,3234,1948,60.24
G1701610023600,Illinois,23600,1982,1195,60.29
G1700310700402,Illinois,700402,4337,2617,60.34
G1700310830006,Illinois,830006,2118,1279,60.39
G1701830000200,Illinois,200,1732,1046,60.39
G1701430002100,Illinois,2100,4793,2931,61.15
G1700310560200,Illinois,560200,1724,1058,61.37
G1700310080400,Illinois,80400,4229,2606,61.62
G1701970882500,Illinois,882500,2274,1403,61.7
G1700310830202,Illinois,830202,3612,2281,63.15
G1700310831400,Illinois,831400,3000,1896,63.2
G1700310829402,Illinois,829402,3353,2120,63.23
G1700310828701,Illinois,828701,3844,2439,63.45
G1700310250300,Illinois,250300,4827,3077,63.75
G1702010002400,Illinois,2400,2409,1544,64.09
G1700870980000,Illinois,980000,2245,1440,64.14
G1700310461000,Illinois,461000,1533,992,64.71
G1701150003100,Illinois,3100,2106,1364,64.77
G1701670001500,Illinois,1500,1001,653,65.23
G1700310828506,Illinois,828506,8893,5836,65.62
G1701830000400,Illinois,400,3421,2248,65.71
G1700310826202,Illinois,826202,5361,3527,65.79
G1700310828504,Illinois,828504,6000,3960,66
G1701670001700,Illinois,1700,1110,733,66.04
G1700310826100,Illinois,826100,6856,4529,66.06
G1701970883606,Illinois,883606,4084,2698,66.06
G1700310817200,Illinois,817200,4717,3137,66.5
G1701670002400,Illinois,2400,3573,2379,66.58
G1700030957900,Illinois,957900,1308,873,66.74
G1700310420200,Illinois,420200,1688,1134,67.18
G1700310700100,Illinois,700100,3479,2338,67.2
G1701970980100,Illinois,980100,3724,2508,67.35
G1700310828503,Illinois,828503,4877,3286,67.38
G1700310843500,Illinois,843500,10079,6792,67.39
G1700310839200,Illinois,839200,2368,1600,67.57
G1700310251700,Illinois,251700,1321,893,67.6
G1700310817000,Illinois,817000,5436,3678,67.66
G1700310827200,Illinois,827200,4233,2870,67.8
G1700310460301,Illinois,460301,2917,1984,68.02
G1700310843400,Illinois,843400,1254,857,68.34
G1700310510200,Illinois,510200,2801,1929,68.87
G1700310842900,Illinois,842900,2050,1422,69.37
G1700310830100,Illinois,830100,3141,2207,70.26
G1700310824900,Illinois,824900,3146,2218,70.5
G1700310828702,Illinois,828702,5139,3654,71.1
G1700310837100,Illinois,837100,1634,1163,71.18
G1700310390500,Illinois,390500,1462,1042,71.27
G1700310837800,Illinois,837800,3110,2217,71.29
G1700310827801,Illinois,827801,5243,3751,71.54
G1702010002500,Illinois,2500,2786,1995,71.61
G1700310839500,Illinois,839500,1367,979,71.62
G1700310826901,Illinois,826901,1767,1270,71.87
G1700910011500,Illinois,11500,2230,1603,71.88
G1700310460600,Illinois,460600,1044,754,72.22
G1701430005000,Illinois,5000,2549,1842,72.26
G1700310827700,Illinois,827700,2896,2099,72.48
G1700310816900,Illinois,816900,5788,4196,72.49
G1700310611900,Illinois,611900,1798,1310,72.86
G1700310830005,Illinois,830005,4127,3031,73.44
G1700310827300,Illinois,827300,2898,2132,73.57
G1700310829700,Illinois,829700,4291,3167,73.81
G1700310817102,Illinois,817102,3347,2492,74.45
G1700310351000,Illinois,351000,3776,2828,74.89
G1700310825900,Illinois,825900,3800,2854,75.11
G1700310825600,Illinois,825600,5589,4201,75.17
G1700310838000,Illinois,838000,2760,2078,75.29
G1701430000100,Illinois,100,1247,940,75.38
G1700310836700,Illinois,836700,2252,1703,75.62
G1700310750500,Illinois,750500,6403,4853,75.79
G1700190000200,Illinois,200,1741,1321,75.88
G1700310390200,Illinois,390200,1718,1305,75.96
G1701970883803,Illinois,883803,2779,2111,75.96
G1701630502603,Illinois,502603,3223,2465,76.48
G1700310817300,Illinois,817300,2329,1785,76.64
G1700310830300,Illinois,830300,4802,3686,76.76
G1700310250800,Illinois,250800,2415,1855,76.81
G1700310817900,Illinois,817900,5796,4497,77.59
G1701430000900,Illinois,900,2260,1757,77.74
G1700310251200,Illinois,251200,4351,3390,77.91
G1700310670500,Illinois,670500,1143,894,78.22
G1700310460100,Illinois,460100,3133,2458,78.46
G1700910011000,Illinois,11000,2114,1662,78.62
G1700310817500,Illinois,817500,3659,2885,78.85
G1700310250400,Illinois,250400,4438,3500,78.86
G1700310670300,Illinois,670300,1034,820,79.3
G1701670001600,Illinois,1600,3906,3118,79.83
G1700310671500,Illinois,671500,2700,2168,80.3
G1700310251300,Illinois,251300,4446,3581,80.54
G1700310830007,Illinois,830007,5108,4118,80.62
G1700310390100,Illinois,390100,1464,1183,80.81
G1700310827805,Illinois,827805,2810,2273,80.89
G1700310830201,Illinois,830201,5595,4531,80.98
G1700310826301,Illinois,826301,4092,3326,81.28
G1700310829902,Illinois,829902,6607,5374,81.34
G1700310817600,Illinois,817600,4093,3336,81.51
G1700310827804,Illinois,827804,3025,2485,82.15
G1700310827802,Illinois,827802,3372,2771,82.18
G1700310827400,Illinois,827400,4235,3488,82.36
G1700310251000,Illinois,251000,907,750,82.69
G1700310826201,Illinois,826201,3505,2920,83.31
G1700310670400,Illinois,670400,1680,1400,83.33
G1700310825503,Illinois,825503,7039,5867,83.35
G1700310827100,Illinois,827100,2476,2069,83.56
G1700310821401,Illinois,821401,3862,3229,83.61
G1700310660900,Illinois,660900,4647,3889,83.69
G1700910011600,Illinois,11600,1501,1258,83.81
G1700310825803,Illinois,825803,5508,4621,83.9
G1700310834700,Illinois,834700,1748,1469,84.04
G1700310827901,Illinois,827901,2435,2048,84.11
G1700310817700,Illinois,817700,5118,4318,84.37
G1700310390400,Illinois,390400,2509,2118,84.42
G1700310250600,Illinois,250600,4068,3450,84.81
G1700310836900,Illinois,836900,1422,1211,85.16
G1700310700501,Illinois,700501,7469,6388,85.53
G1700310837000,Illinois,837000,2028,1746,86.09
G1700310825802,Illinois,825802,6456,5581,86.45
G1700310380700,Illinois,380700,1243,1076,86.56
G1700310260100,Illinois,260100,1249,1084,86.79
G1700310661000,Illinois,661000,5114,4444,86.9
G1700310280900,Illinois,280900,1014,882,86.98
G1700310829401,Illinois,829401,1153,1003,86.99
G1700310381500,Illinois,381500,341,297,87.1
G1700310843900,Illinois,843900,3332,2908,87.27
G1700310843100,Illinois,843100,1742,1521,87.31
G1700310231500,Illinois,231500,6699,5857,87.43
G1700310827000,Illinois,827000,3641,3188,87.56
G1700310836400,Illinois,836400,3308,2899,87.64
G1700310480500,Illinois,480500,3016,2644,87.67
G1700310250700,Illinois,250700,5194,4557,87.74
G1700310830008,Illinois,830008,4452,3909,87.8
G1700310420100,Illinois,420100,1331,1169,87.83
G1700310817101,Illinois,817101,4594,4039,87.92
G1700310841400,Illinois,841400,1189,1046,87.97
G1700310660700,Illinois,660700,2041,1799,88.14
G1700310381200,Illinois,381200,1792,1580,88.17
G1700310351400,Illinois,351400,1939,1710,88.19
G1700310825501,Illinois,825501,5173,4570,88.34
G1700310830003,Illinois,830003,7531,6653,88.34
G1700310260900,Illinois,260900,1379,1219,88.4
G1700310390300,Illinois,390300,2830,2502,88.41
G1700310825505,Illinois,825505,5540,4898,88.41
G1700310271200,Illinois,271200,1214,1075,88.55
G1700310835900,Illinois,835900,3170,2807,88.55
G1700310251100,Illinois,251100,4103,3634,88.57
G1700310400800,Illinois,400800,2847,2524,88.65
G1700310830004,Illinois,830004,7641,6774,88.65
G1700310841600,Illinois,841600,689,611,88.68
G1700310280400,Illinois,280400,1715,1525,88.92
G1700310710300,Illinois,710300,1444,1286,89.06
G1700310431400,Illinois,431400,6406,5719,89.28
G1700310826402,Illinois,826402,5084,4540,89.3
G1700310270500,Illinois,270500,1690,1510,89.35
G1700310671900,Illinois,671900,1241,1109,89.36
G1700310700502,Illinois,700502,3437,3081,89.64
G1700310836800,Illinois,836800,2214,1988,89.79
G1700310837300,Illinois,837300,2519,2262,89.8
G1700310670100,Illinois,670100,1069,961,89.9
G1701970883605,Illinois,883605,2763,2486,89.97
G1700310430700,Illinois,430700,2562,2307,90.05
G1700310420800,Illinois,420800,2077,1875,90.27
G1700310839600,Illinois,839600,1521,1374,90.34
G1700310838600,Illinois,838600,1467,1326,90.39
G1700310843600,Illinois,843600,2822,2552,90.43
G1700310826500,Illinois,826500,6508,5886,90.44
G1700310381900,Illinois,381900,1282,1160,90.48
G1700310460302,Illinois,460302,3468,3138,90.48
G1700310400300,Illinois,400300,1347,1219,90.5
G1700310271400,Illinois,271400,1353,1226,90.61
G1700310824300,Illinois,824300,4410,4001,90.73
G1700310671800,Illinois,671800,1292,1174,90.87
G1700310826303,Illinois,826303,4631,4208,90.87
G1700310837400,Illinois,837400,2403,2187,91.01
G1700310251600,Illinois,251600,4063,3699,91.04
G1700310670200,Illinois,670200,953,868,91.08
G1700310750600,Illinois,750600,3426,3123,91.16
G1700310280800,Illinois,280800,1008,919,91.17
G1700310430600,Illinois,430600,1732,1579,91.17
G1700310440102,Illinois,440102,3431,3128,91.17
G1700310710500,Illinois,710500,4268,3897,91.31
G1700310260700,Illinois,260700,1774,1622,91.43
G1700310251500,Illinois,251500,4194,3836,91.46
G1700310251800,Illinois,251800,5275,4831,91.58
G1700310826401,Illinois,826401,3927,3598,91.62
G1700310292200,Illinois,292200,2922,2678,91.65
G1700310825504,Illinois,825504,3915,3588,91.65
G1700310834600,Illinois,834600,2535,2330,91.91
G1700310835500,Illinois,835500,1444,1330,92.11
G1700310691300,Illinois,691300,2721,2509,92.21
G1700310835600,Illinois,835600,910,840,92.31
G1700310360200,Illinois,360200,1583,1462,92.36
G1700310826304,Illinois,826304,2577,2382,92.43
G1700310838700,Illinois,838700,4631,4282,92.46
G1700310750100,Illinois,750100,4014,3712,92.48
G1700310826600,Illinois,826600,5965,5522,92.57
G1700310672000,Illinois,672000,4239,3927,92.64
G1700310491200,Illinois,491200,2097,1944,92.7
G1700310841500,Illinois,841500,2932,2721,92.8
G1700310440101,Illinois,440101,4020,3731,92.81
G1700310251400,Illinois,251400,4544,4218,92.83
G1700310420600,Illinois,420600,2017,1873,92.86
G1700310430102,Illinois,430102,2944,2736,92.93
G1700310380200,Illinois,380200,1845,1716,93.01
G1700310490500,Illinois,490500,2084,1939,93.04
G1700310681300,Illinois,681300,2325,2165,93.12
G1700310420700,Illinois,420700,3269,3045,93.15
G1700310252201,Illinois,252201,2927,2729,93.24
G1700310540102,Illinois,540102,3513,3276,93.25
G1700310836100,Illinois,836100,2163,2017,93.25
G1701630504500,Illinois,504500,5545,5172,93.27
G1700310612100,Illinois,612100,1013,945,93.29
G1700310821402,Illinois,821402,3071,2865,93.29
G1700310835800,Illinois,835800,1707,1593,93.32
G1700310671600,Illinois,671600,1917,1790,93.38
G1700310430800,Illinois,430800,1549,1448,93.48
G1700310430200,Illinois,430200,4866,4556,93.63
G1700310292500,Illinois,292500,4070,3813,93.69
G1700310710200,Illinois,710200,4925,4615,93.71
G1700310431301,Illinois,431301,3319,3112,93.76
G1700310681200,Illinois,681200,2664,2502,93.92
G1700310670900,Illinois,670900,1717,1613,93.94
G1700310251900,Illinois,251900,4862,4581,94.22
G1700310730700,Illinois,730700,2345,2214,94.41
G1700310730201,Illinois,730201,5719,5400,94.42
G1700310540101,Illinois,540101,3881,3665,94.43
G1700310260500,Illinois,260500,1587,1499,94.45
G1700310292400,Illinois,292400,2421,2287,94.47
G1700310381800,Illinois,381800,1034,977,94.49
G1700310834400,Illinois,834400,4487,4242,94.54
G1700310691200,Illinois,691200,3027,2862,94.55
G1700310380100,Illinois,380100,1932,1827,94.57
G1700310690300,Illinois,690300,2393,2264,94.61
G1701190400700,Illinois,400700,1972,1867,94.68
G1700310825801,Illinois,825801,3559,3370,94.69
G1700310836500,Illinois,836500,1754,1661,94.7
G1700310690900,Illinois,690900,4305,4078,94.73
G1700310836000,Illinois,836000,2685,2545,94.79
G1700310530400,Illinois,530400,1973,1871,94.83
G1700310711000,Illinois,711000,3098,2938,94.84
G1700310491100,Illinois,491100,4488,4261,94.94
G1700310730400,Illinois,730400,4129,3921,94.96
G1700310680600,Illinois,680600,1594,1514,94.98
G1700310420500,Illinois,420500,1704,1622,95.19
G1700310671300,Illinois,671300,2078,1978,95.19
G1700310260800,Illinois,260800,2681,2553,95.23
G1700310431200,Illinois,431200,2975,2834,95.26
G1700310821500,Illinois,821500,1833,1748,95.36
G1700310440201,Illinois,440201,4805,4586,95.44
G1700310681100,Illinois,681100,3097,2958,95.51
G1700310271500,Illinois,271500,1483,1417,95.55
G1700310491400,Illinois,491400,3221,3079,95.59
G1700310670700,Illinois,670700,1140,1091,95.7
G1700310826700,Illinois,826700,5227,5007,95.79
G1700310827600,Illinois,827600,3340,3200,95.81
G1700310841800,Illinois,841800,2756,2642,95.86
G1700310834000,Illinois,834000,2956,2835,95.91
G1701630500900,Illinois,500900,4267,4093,95.92
G1700310490300,Illinois,490300,2430,2332,95.97
G1700310252101,Illinois,252101,1390,1335,96.04
G1700310834800,Illinois,834800,1566,1504,96.04
G1701630502200,Illinois,502200,1944,1867,96.04
G1700310480400,Illinois,480400,5662,5440,96.08
G1700310491300,Illinois,491300,2465,2369,96.11
G1700310261000,Illinois,261000,2398,2305,96.12
G1700310351100,Illinois,351100,2102,2022,96.19
G1700310711500,Illinois,711500,2677,2576,96.23
G1701630500400,Illinois,500400,1802,1734,96.23
G1700310843000,Illinois,843000,2689,2589,96.28
G1700310680500,Illinois,680500,1375,1324,96.29
G1700310291200,Illinois,291200,2664,2567,96.36
G1700310500200,Illinois,500200,2113,2036,96.36
G1700310430400,Illinois,430400,2934,2828,96.39
G1700310530501,Illinois,530501,4704,4537,96.45
G1700310834900,Illinois,834900,1859,1794,96.5
G1701630501300,Illinois,501300,3385,3268,96.54
G1701630502500,Illinois,502500,1214,1172,96.54
G1700310430101,Illinois,430101,3431,3313,96.56
G1701630501400,Illinois,501400,2836,2739,96.58
G1700310260600,Illinois,260600,1989,1922,96.63
G1700310730202,Illinois,730202,3439,3323,96.63
G1700310480300,Illinois,480300,1159,1120,96.64
G1701630502800,Illinois,502800,2841,2746,96.66
G1700310730500,Illinois,730500,4507,4358,96.69
G1701630502900,Illinois,502900,1842,1782,96.74
G1700310430500,Illinois,430500,3543,3429,96.78
G1700310710400,Illinois,710400,5458,5284,96.81
G1700310612000,Illinois,612000,1355,1312,96.83
G1700310710900,Illinois,710900,2153,2085,96.84
G1700310691100,Illinois,691100,3304,3200,96.85
G1700310834300,Illinois,834300,6384,6184,96.87
G1700310711300,Illinois,711300,1780,1726,96.97
G1701630501100,Illinois,501100,1463,1419,96.99
G1700310440300,Illinois,440300,4775,4636,97.09
G1700310691500,Illinois,691500,2013,1955,97.12
G1701630500500,Illinois,500500,2892,2810,97.16
G1700310710100,Illinois,710100,1188,1155,97.22
G1700310681000,Illinois,681000,2458,2390,97.23
G1700310252000,Illinois,252000,5738,5581,97.26
G1700310670600,Illinois,670600,1068,1039,97.28
G1700310711100,Illinois,711100,2283,2221,97.28
G1701630504600,Illinois,504600,1849,1800,97.35
G1700310252202,Illinois,252202,4757,4633,97.39
G1700310340600,Illinois,340600,995,969,97.39
G1700310829000,Illinois,829000,1310,1276,97.4
G1700310671400,Illinois,671400,1390,1354,97.41
G1701630501200,Illinois,501200,2912,2837,97.42
G1700310440202,Illinois,440202,3507,3418,97.46
G1700310470100,Illinois,470100,2254,2197,97.47
G1700310440700,Illinois,440700,1513,1475,97.49
G1700310460400,Illinois,460400,3458,3372,97.51
G1700310491000,Illinois,491000,4584,4471,97.53
G1700310671200,Illinois,671200,988,964,97.57
G1700310671100,Illinois,671100,1088,1062,97.61
G1700310431302,Illinois,431302,4161,4062,97.62
G1700310730100,Illinois,730100,2567,2506,97.62
G1700310834200,Illinois,834200,4310,4209,97.66
G1700310710600,Illinois,710600,1934,1889,97.67
G1700310400500,Illinois,400500,1986,1940,97.68
G1701630502401,Illinois,502401,1778,1738,97.75
G1700310730300,Illinois,730300,1126,1101,97.78
G1700310490800,Illinois,490800,4110,4019,97.79
G1700310421200,Illinois,421200,1497,1464,97.8
G1700310834500,Illinois,834500,1273,1245,97.8
G1700310252102,Illinois,252102,6980,6827,97.81
G1700310490600,Illinois,490600,1558,1525,97.88
G1700310530300,Illinois,530300,4607,4510,97.89
G1700310711400,Illinois,711400,2424,2373,97.9
G1700310730600,Illinois,730600,3621,3546,97.93
G1700310260200,Illinois,260200,1223,1198,97.96
G1700310260400,Illinois,260400,1292,1266,97.99
G1700310350400,Illinois,350400,1856,1819,98.01
G1700310430900,Illinois,430900,1356,1329,98.01
G1700310530503,Illinois,530503,5846,5730,98.02
G1700310450300,Illinois,450300,3650,3582,98.14
G1700310710800,Illinois,710800,4719,4636,98.24
G1700310480200,Illinois,480200,1143,1123,98.25
G1700310826902,Illinois,826902,1290,1268,98.29
G1700310271300,Illinois,271300,1261,1241,98.41
G1700310400400,Illinois,400400,1886,1856,98.41
G1700310490902,Illinois,490902,4999,4923,98.48
G1700310500100,Illinois,500100,3083,3036,98.48
G1700310260300,Illinois,260300,1583,1560,98.55
G1700310670800,Illinois,670800,1333,1314,98.57
G1700310440800,Illinois,440800,1553,1531,98.58
G1700310530502,Illinois,530502,1419,1401,98.73
G1700310440900,Illinois,440900,2403,2373,98.75
G1700310680900,Illinois,680900,3143,3106,98.82
G1700310690400,Illinois,690400,3253,3217,98.89
G1700310480100,Illinois,480100,2208,2184,98.91
G1700310430300,Illinois,430300,2391,2367,99
G1701630502700,Illinois,502700,1037,1027,99.04
G1700310380500,Illinois,380500,800,793,99.13
G1700310691400,Illinois,691400,2807,2783,99.14
G1700310510300,Illinois,510300,5260,5220,99.24
G1700310710700,Illinois,710700,2941,2922,99.35
G1700310290900,Illinois,290900,4076,4051,99.39
G1700310691000,Illinois,691000,2444,2430,99.43
G1700310690500,Illinois,690500,736,732,99.46
G1700310490700,Illinois,490700,2834,2821,99.54
G1700310490901,Illinois,490901,3768,3751,99.55
G1700310530600,Illinois,530600,2636,2626,99.62
G1700310440600,Illinois,440600,1980,1973,99.65
G1700310460500,Illinois,460500,4816,4799,99.65
G1700310711200,Illinois,711200,4986,4975,99.78
G1700310842500,Illinois,842500,2007,2003,99.8
G1700310530200,Illinois,530200,4296,4288,99.81
G1700310842400,Illinois,842400,3084,3078,99.81
G1700310271800,Illinois,271800,783,783,100
G1700310381400,Illinois,381400,1660,1660,100
G1700310490400,Illinois,490400,839,839,100
G1700310681400,Illinois,681400,2570,2570,100
G1700310835700,Illinois,835700,592,592,100
G1800010030100,Indiana,30100,4740,0,0
G1800010030400,Indiana,30400,3406,0,0
G1800010030700,Indiana,30700,6691,0,0
G1800030010603,Indiana,10603,1711,0,0
G1800030011000,Indiana,11000,2589,0,0
G1800030011802,Indiana,11802,1706,0,0
G1800030011900,Indiana,11900,1783,0,0
G1800030980002,Indiana,980002,29,0,0
G1800090975100,Indiana,975100,3437,0,0
G1800090975200,Indiana,975200,2744,0,0
G1800090975300,Indiana,975300,2728,0,0
G1800110810200,Indiana,810200,4039,0,0
G1800110810700,Indiana,810700,4654,0,0
G1800130974600,Indiana,974600,2828,0,0
G1800130974700,Indiana,974700,3304,0,0
G1800150959300,Indiana,959300,3091,0,0
G1800150959700,Indiana,959700,3086,0,0
G1800150959900,Indiana,959900,2655,0,0
G1800170951000,Indiana,951000,2562,0,0
G1800170951700,Indiana,951700,2589,0,0
G1800170951900,Indiana,951900,3686,0,0
G1800190050501,Indiana,50501,1698,0,0
G1800190051000,Indiana,51000,5183,0,0
G1800210040300,Indiana,40300,3333,0,0
G1800210040500,Indiana,40500,3565,0,0
G1800210040600,Indiana,40600,3559,0,0
G1800230950200,Indiana,950200,5394,0,0
G1800230950400,Indiana,950400,3722,0,0
G1800270954300,Indiana,954300,4055,0,0
G1800270954500,Indiana,954500,9571,0,0
G1800270954600,Indiana,954600,4229,0,0
G1800270954900,Indiana,954900,4556,0,0
G1800290080103,Indiana,80103,5780,0,0
G1800290080104,Indiana,80104,3892,0,0
G1800290080201,Indiana,80201,2091,0,0
G1800290080202,Indiana,80202,6701,0,0
G1800290080500,Indiana,80500,4213,0,0
G1800290080700,Indiana,80700,6185,0,0
G1800310969500,Indiana,969500,3876,0,0
G1800330020700,Indiana,20700,3579,0,0
G1800330020800,Indiana,20800,4276,0,0
G1800350002700,Indiana,2700,4654,0,0
G1800370953300,Indiana,953300,7245,0,0
G1800370953600,Indiana,953600,5302,0,0
G1800390000801,Indiana,801,3400,0,0
G1800390001000,Indiana,1000,4439,0,0
G1800450957600,Indiana,957600,2922,0,0
G1800450957900,Indiana,957900,4435,0,0
G1800470960100,Indiana,960100,4839,0,0
G1800470969700,Indiana,969700,2518,0,0
G1800470969900,Indiana,969900,3749,0,0
G1800490953000,Indiana,953000,3450,0,0
G1800490953500,Indiana,953500,2892,0,0
G1800530010300,Indiana,10300,4015,0,0
G1800530010500,Indiana,10500,5030,0,0
G1800550954800,Indiana,954800,3511,0,0
G1800550955000,Indiana,955000,2771,0,0
G1800550955100,Indiana,955100,3230,0,0
G1800570110202,Indiana,110202,6352,0,0
G1800590410300,Indiana,410300,10937,0,0
G1800590410600,Indiana,410600,5368,0,0
G1800610060200,Indiana,60200,7785,0,0
G1800610060600,Indiana,60600,6798,0,0
G1800630210400,Indiana,210400,5071,0,0
G1800650976500,Indiana,976500,2525,0,0
G1800650976600,Indiana,976600,2201,0,0
G1800670010400,Indiana,10400,3562,0,0
G1800670010500,Indiana,10500,5247,0,0
G1800690962100,Indiana,962100,3254,0,0
G1800710967600,Indiana,967600,3953,0,0
G1800710967700,Indiana,967700,3747,0,0
G1800710968000,Indiana,968000,5276,0,0
G1800710968200,Indiana,968200,4045,0,0
G1800710968300,Indiana,968300,3429,0,0
G1800730100400,Indiana,100400,1496,0,0
G1800730100901,Indiana,100901,3322,0,0
G1800730100902,Indiana,100902,6613,0,0
G1800750962800,Indiana,962800,3689,0,0
G1800750962900,Indiana,962900,2733,0,0
G1800750963200,Indiana,963200,2644,0,0
G1800790960301,Indiana,960301,4003,0,0
G1800790960600,Indiana,960600,5016,0,0
G1800830955100,Indiana,955100,2871,0,0
G1800830955800,Indiana,955800,3609,0,0
G1800850961000,Indiana,961000,4164,0,0
G1800850961400,Indiana,961400,3194,0,0
G1800850961500,Indiana,961500,2515,0,0
G1800850961600,Indiana,961600,1513,0,0
G1800850961700,Indiana,961700,4390,0,0
G1800850962600,Indiana,962600,2704,0,0
G1800850962700,Indiana,962700,3605,0,0
G1800870970300,Indiana,970300,8224,0,0
G1800870970401,Indiana,970401,4340,0,0
G1800870970402,Indiana,970402,4851,0,0
G1800870970500,Indiana,970500,3788,0,0
G1800870970600,Indiana,970600,2359,0,0
G1800890040403,Indiana,40403,6094,0,0
G1800890042608,Indiana,42608,4698,0,0
G1800890043401,Indiana,43401,6815,0,0
G1800890043405,Indiana,43405,5095,0,0
G1800910041200,Indiana,41200,924,0,0
G1800910042200,Indiana,42200,3062,0,0
G1800910042800,Indiana,42800,2904,0,0
G1800930950400,Indiana,950400,3851,0,0
G1800930950500,Indiana,950500,4585,0,0
G1800930950700,Indiana,950700,7267,0,0
G1800950010400,Indiana,10400,3112,0,0
G1800950010600,Indiana,10600,5141,0,0
G1800950010900,Indiana,10900,2355,0,0
G1800950011700,Indiana,11700,2446,0,0
G1800970381102,Indiana,381102,5776,0,0
G1800990020102,Indiana,20102,3510,0,0
G1800990020701,Indiana,20701,3555,0,0
G1801030952600,Indiana,952600,3326,0,0
G1801050001303,Indiana,1303,5931,0,0
G1801050001501,Indiana,1501,5607,0,0
G1801050001502,Indiana,1502,2921,0,0
G1801090510100,Indiana,510100,9763,0,0
G1801090510201,Indiana,510201,4232,0,0
G1801090510202,Indiana,510202,4000,0,0
G1801090510401,Indiana,510401,3838,0,0
G1801090511000,Indiana,511000,7734,0,0
G1801110100400,Indiana,100400,6009,0,0
G1801130971700,Indiana,971700,5782,0,0
G1801130972200,Indiana,972200,4959,0,0
G1801130972600,Indiana,972600,4092,0,0
G1801170951400,Indiana,951400,3231,0,0
G1801170951600,Indiana,951600,3405,0,0
G1801170951800,Indiana,951800,3336,0,0
G1801190955600,Indiana,955600,3446,0,0
G1801190955700,Indiana,955700,5294,0,0
G1801210030100,Indiana,30100,4126,0,0
G1801210030200,Indiana,30200,3439,0,0
G1801230952300,Indiana,952300,2974,0,0
G1801250954100,Indiana,954100,3226,0,0
G1801270050405,Indiana,50405,1195,0,0
G1801270050603,Indiana,50603,3854,0,0
G1801270051008,Indiana,51008,2349,0,0
G1801310959100,Indiana,959100,3354,0,0
G1801310959200,Indiana,959200,3006,0,0
G1801330956000,Indiana,956000,3052,0,0
G1801330956100,Indiana,956100,2944,0,0
G1801350951500,Indiana,951500,2863,0,0
G1801350951600,Indiana,951600,3681,0,0
G1801350951700,Indiana,951700,3301,0,0
G1801350951900,Indiana,951900,4459,0,0
G1801370968600,Indiana,968600,4967,0,0
G1801370968900,Indiana,968900,4890,0,0
G1801390974100,Indiana,974100,3038,0,0
G1801390974200,Indiana,974200,3230,0,0
G1801390974500,Indiana,974500,4001,0,0
G1801410012100,Indiana,12100,3835,0,0
G1801410012300,Indiana,12300,3657,0,0
G1801410012400,Indiana,12400,2045,0,0
G1801430966700,Indiana,966700,4424,0,0
G1801430966800,Indiana,966800,3658,0,0
G1801430966900,Indiana,966900,4365,0,0
G1801450710900,Indiana,710900,4914,0,0
G1801490953700,Indiana,953700,3512,0,0
G1801490953800,Indiana,953800,3790,0,0
G1801490954100,Indiana,954100,3154,0,0
G1801510970900,Indiana,970900,2277,0,0
G1801510971000,Indiana,971000,4111,0,0
G1801510971100,Indiana,971100,2633,0,0
G1801530050100,Indiana,50100,5691,0,0
G1801530050200,Indiana,50200,3011,0,0
G1801530050300,Indiana,50300,5799,0,0
G1801570001000,Indiana,1000,1477,0,0
G1801570005300,Indiana,5300,3657,0,0
G1801570010100,Indiana,10100,6306,0,0
G1801570011000,Indiana,11000,4359,0,0
G1801590020100,Indiana,20100,2764,0,0
G1801590020300,Indiana,20300,2623,0,0
G1801610960800,Indiana,960800,3189,0,0
G1801630002900,Indiana,2900,1101,0,0
G1801630010404,Indiana,10404,7244,0,0
G1801630010500,Indiana,10500,7737,0,0
G1801630010600,Indiana,10600,1802,0,0
G1801630980100,Indiana,980100,71,0,0
G1801650020200,Indiana,20200,2813,0,0
G1801650020300,Indiana,20300,2839,0,0
G1801650020400,Indiana,20400,1926,0,0
G1801670010400,Indiana,10400,3676,0,0
G1801690102400,Indiana,102400,3183,0,0
G1801730030100,Indiana,30100,3731,0,0
G1801750967200,Indiana,967200,4670,0,0
G1801750967300,Indiana,967300,4802,0,0
